Name,VisReg
train11_vistrain2_2023-11-09,0.29
train11_vistrain2_2023-11-10,0.33
train11_vistrain2_2023-11-12,0.31
train11_vistrain2_2023-11-13,0.28
train11_vistrain2_2023-11-14,0.39
train11_vistrain2_2023-11-15,0.31
train11_vistrain2_2023-11-17,0.39
train11_vistrain2_2023-11-18,0.28
train11_vistrain2_2023-11-20,0.47
train11_vistrain2_2023-11-21,0.36
train11_vistrain2_2023-11-22,0.25
train11_vistrain2_2023-11-23,0.42
train16_vistrain2_2023-11-12,0.42
train16_vistrain2_2023-11-14,0.44
train16_vistrain2_2023-11-15,0.42
train16_vistrain2_2023-11-16,0.5
train16_vistrain2_2023-11-17,0.36
train16_vistrain2_2023-11-18,0.42
train16_vistrain2_2023-11-19,0.64
train16_vistrain2_2023-11-20,0.69
train16_vistrain2_2023-11-21,0.53
train16_vistrain2_2023-11-22,0.58
train16_vistrain2_2023-11-24,0.56
train16_vistrain2_2023-11-25,0.42
train19_vistrain1_2023-11-13,0.33
train19_vistrain1_2023-11-14,0.44
train19_vistrain1_2023-11-15,0.39
train19_vistrain1_2023-11-16,0.36
train19_vistrain1_2023-11-17,0.22
train19_vistrain1_2023-11-18,0.33
train19_vistrain1_2023-11-20,0.42
train19_vistrain1_2023-11-21,0.42
train19_vistrain1_2023-11-22,0.25
train19_vistrain1_2023-11-24,0.39
train19_vistrain1_2023-11-25,0.31
train19_vistrain1_2023-11-26,0.75
train21_vistrain2_2023-11-14,0.33
train21_vistrain2_2023-11-16,0.47
train21_vistrain2_2023-11-17,0.61
train21_vistrain2_2023-11-18,0.39
train21_vistrain2_2023-11-19,0.31
train21_vistrain2_2023-11-20,0.56
train21_vistrain2_2023-11-21,0.42
train21_vistrain2_2023-11-24,0.25
train21_vistrain2_2023-11-25,0.28
train21_vistrain2_2023-11-27,0.31
train21_vistrain2_2023-11-29,0.25
train21_vistrain2_2023-11-30,0.33
train22_vistrain1_2023-11-15,0.54
train22_vistrain1_2023-11-16,0.56
train22_vistrain1_2023-11-18,0.56
train22_vistrain1_2023-11-19,0.78
train22_vistrain1_2023-11-20,0.53
train22_vistrain1_2023-11-21,0.53
train22_vistrain1_2023-11-23,0.39
train22_vistrain1_2023-11-24,0.58
train22_vistrain1_2023-11-25,0.39
train22_vistrain1_2023-11-26,0.33
train22_vistrain1_2023-11-27,0.67
train22_vistrain1_2023-11-29,0.63
train25_vistrain2_2023-11-16,0.83
train25_vistrain2_2023-11-17,0.53
train25_vistrain2_2023-11-18,0.78
train25_vistrain2_2023-11-19,0.69
train25_vistrain2_2023-11-20,0.67
train25_vistrain2_2023-11-21,0.75
train25_vistrain2_2023-11-22,0.75
train25_vistrain2_2023-11-23,0.56
train25_vistrain2_2023-11-24,0.69
train25_vistrain2_2023-11-25,0.42
train25_vistrain2_2023-11-26,0.58
train25_vistrain2_2023-11-28,0.83
train2_vistrain1_2023-11-06,0.38
train2_vistrain1_2023-11-07,0.33
train2_vistrain1_2023-11-08,0.28
train2_vistrain1_2023-11-09,0.22
train2_vistrain1_2023-11-10,0.22
train2_vistrain1_2023-11-11,0.39
train2_vistrain1_2023-11-12,0.28
train2_vistrain1_2023-11-13,0.33
train2_vistrain1_2023-11-14,0.28
train2_vistrain1_2023-11-15,0.28
train2_vistrain1_2023-11-16,0.36
train2_vistrain1_2023-11-20,0.42
train31_vistrain1_2023-11-17,0.58
train31_vistrain1_2023-11-18,0.31
train31_vistrain1_2023-11-19,0.44
train31_vistrain1_2023-11-20,0.44
train31_vistrain1_2023-11-21,0.47
train31_vistrain1_2023-11-22,0.44
train31_vistrain1_2023-11-23,0.33
train31_vistrain1_2023-11-24,0.58
train31_vistrain1_2023-11-25,0.47
train31_vistrain1_2023-11-26,0.39
train31_vistrain1_2023-11-27,0.42
train31_vistrain1_2023-12-01,0.54
train33_vistrain2_2023-11-18,0.42
train33_vistrain2_2023-11-19,0.5
train33_vistrain2_2023-11-20,0.58
train33_vistrain2_2023-11-21,0.56
train33_vistrain2_2023-11-22,0.64
train33_vistrain2_2023-11-23,0.72
train33_vistrain2_2023-11-24,0.64
train33_vistrain2_2023-11-26,0.72
train33_vistrain2_2023-11-27,0.58
train33_vistrain2_2023-11-28,0.47
train33_vistrain2_2023-11-29,0.61
train33_vistrain2_2023-11-30,0.67
train35_vistrain1_2023-11-18,0.54
train35_vistrain1_2023-11-19,0.67
train35_vistrain1_2023-11-20,0.72
train35_vistrain1_2023-11-21,0.75
train35_vistrain1_2023-11-22,0.83
train35_vistrain1_2023-11-23,0.92
train35_vistrain1_2023-11-24,0.81
train35_vistrain1_2023-11-25,0.81
train35_vistrain1_2023-11-26,0.92
train35_vistrain1_2023-11-27,0.86
train35_vistrain1_2023-11-28,0.83
train35_vistrain1_2023-12-02,0.92
train38_vistrain2_2023-11-19,0.5
train38_vistrain2_2023-11-21,0.47
train38_vistrain2_2023-11-22,0.5
train38_vistrain2_2023-11-23,0.5
train38_vistrain2_2023-11-24,0.53
train38_vistrain2_2023-11-25,0.67
train38_vistrain2_2023-11-26,0.42
train38_vistrain2_2023-11-27,0.69
train38_vistrain2_2023-11-28,0.67
train38_vistrain2_2023-11-29,0.64
train38_vistrain2_2023-11-30,0.67
train38_vistrain2_2023-12-03,0.63
train41_vistrain1_2023-11-22,0.29
train41_vistrain1_2023-11-23,0.39
train41_vistrain1_2023-11-24,0.31
train41_vistrain1_2023-11-25,0.42
train41_vistrain1_2023-11-26,0.47
train41_vistrain1_2023-11-27,0.44
train41_vistrain1_2023-11-28,0.42
train41_vistrain1_2023-11-29,0.58
train41_vistrain1_2023-11-30,0.47
train41_vistrain1_2023-12-01,0.42
train41_vistrain1_2023-12-02,0.39
train41_vistrain1_2023-12-05,0.5
train48_vistrain1_2023-11-24,0.46
train48_vistrain1_2023-11-25,0.36
train48_vistrain1_2023-11-26,0.44
train48_vistrain1_2023-11-27,0.31
train48_vistrain1_2023-11-28,0.31
train48_vistrain1_2023-11-29,0.39
train48_vistrain1_2023-11-30,0.22
train48_vistrain1_2023-12-01,0.36
train48_vistrain1_2023-12-02,0.31
train48_vistrain1_2023-12-03,0.31
train48_vistrain1_2023-12-04,0.39
train48_vistrain1_2023-12-06,0.58
train4_vistrain2_2023-11-06,0.5
train4_vistrain2_2023-11-07,0.53
train4_vistrain2_2023-11-08,0.69
train4_vistrain2_2023-11-09,0.69
train4_vistrain2_2023-11-10,0.75
train4_vistrain2_2023-11-11,0.42
train4_vistrain2_2023-11-12,0.86
train4_vistrain2_2023-11-14,0.83
train4_vistrain2_2023-11-15,0.89
train4_vistrain2_2023-11-16,0.89
train4_vistrain2_2023-11-19,0.83
train4_vistrain2_2023-11-20,0.88
train51_vistrain2_2024-01-17,0.38
train51_vistrain2_2024-01-18,0.75
train51_vistrain2_2024-01-20,0.44
train51_vistrain2_2024-01-21,0.44
train51_vistrain2_2024-01-22,0.53
train51_vistrain2_2024-01-23,0.58
train51_vistrain2_2024-01-25,0.56
train51_vistrain2_2024-01-26,0.5
train51_vistrain2_2024-01-27,0.61
train51_vistrain2_2024-01-28,0.36
train51_vistrain2_2024-01-29,0.53
train51_vistrain2_2024-01-30,0.33
train54_vistrain1_2024-01-18,0.42
train54_vistrain1_2024-01-19,0.5
train54_vistrain1_2024-01-20,0.39
train54_vistrain1_2024-01-21,0.67
train54_vistrain1_2024-01-22,0.61
train54_vistrain1_2024-01-23,0.64
train54_vistrain1_2024-01-24,0.64
train54_vistrain1_2024-01-25,0.78
train54_vistrain1_2024-01-27,0.81
train54_vistrain1_2024-01-28,0.67
train54_vistrain1_2024-01-29,0.83
train54_vistrain1_2024-01-31,0.67
train57_vistrain2_2024-01-19,0.63
train57_vistrain2_2024-01-20,0.58
train57_vistrain2_2024-01-21,0.39
train57_vistrain2_2024-01-22,0.56
train57_vistrain2_2024-01-23,0.39
train57_vistrain2_2024-01-24,0.47
train57_vistrain2_2024-01-25,0.44
train57_vistrain2_2024-01-26,0.33
train57_vistrain2_2024-01-27,0.5
train57_vistrain2_2024-01-28,0.19
train57_vistrain2_2024-01-29,0.39
train57_vistrain2_2024-02-02,0.71
train61_vistrain1_2024-01-23,0.58
train61_vistrain1_2024-01-24,0.58
train61_vistrain1_2024-01-25,0.69
train61_vistrain1_2024-01-26,0.83
train61_vistrain1_2024-01-27,0.69
train61_vistrain1_2024-01-28,0.83
train61_vistrain1_2024-01-31,0.61
train61_vistrain1_2024-02-01,0.67
train61_vistrain1_2024-02-02,0.61
train61_vistrain1_2024-02-04,0.75
train61_vistrain1_2024-02-05,0.86
train61_vistrain1_2024-02-06,0.75
train63_vistrain2_2024-01-29,0.63
train63_vistrain2_2024-01-30,0.75
train63_vistrain2_2024-01-31,0.67
train63_vistrain2_2024-02-01,0.83
train63_vistrain2_2024-02-02,0.89
train63_vistrain2_2024-02-03,0.92
train63_vistrain2_2024-02-04,0.86
train63_vistrain2_2024-02-05,0.94
train63_vistrain2_2024-02-07,0.92
train63_vistrain2_2024-02-08,0.94
train63_vistrain2_2024-02-09,0.83
train63_vistrain2_2024-02-12,0.83
train67_vistrain1_2024-02-01,0.46
train67_vistrain1_2024-02-02,0.5
train67_vistrain1_2024-02-04,0.47
train67_vistrain1_2024-02-05,0.61
train67_vistrain1_2024-02-06,0.42
train67_vistrain1_2024-02-07,0.56
train67_vistrain1_2024-02-09,0.67
train67_vistrain1_2024-02-11,0.72
train67_vistrain1_2024-02-12,0.69
train67_vistrain1_2024-02-13,0.47
train67_vistrain1_2024-02-14,0.64
train67_vistrain1_2024-02-15,0.63
train70_vistrain2_2024-02-13,0.63
train70_vistrain2_2024-02-14,0.42
train70_vistrain2_2024-02-15,0.5
train70_vistrain2_2024-02-16,0.58
train70_vistrain2_2024-02-17,0.25
train70_vistrain2_2024-02-20,0.42
train70_vistrain2_2024-02-21,0.42
train70_vistrain2_2024-02-22,0.28
train70_vistrain2_2024-02-23,0.31
train70_vistrain2_2024-02-24,0.31
train70_vistrain2_2024-02-25,0.36
train70_vistrain2_2024-02-26,0.5
train71_vistrain1_2024-02-16,0.63
train71_vistrain1_2024-02-17,0.56
train71_vistrain1_2024-02-18,0.31
train71_vistrain1_2024-02-20,0.44
train71_vistrain1_2024-02-23,0.58
train71_vistrain1_2024-02-25,0.67
train71_vistrain1_2024-02-26,0.5
train71_vistrain1_2024-02-27,0.67
train71_vistrain1_2024-02-28,0.53
train71_vistrain1_2024-02-29,0.56
train71_vistrain1_2024-03-01,0.72
train71_vistrain1_2024-03-02,0.75
train7_vistrain1_2023-11-07,0.38
train7_vistrain1_2023-11-08,0.28
train7_vistrain1_2023-11-09,0.44
train7_vistrain1_2023-11-10,0.19
train7_vistrain1_2023-11-12,0.14
train7_vistrain1_2023-11-13,0.22
train7_vistrain1_2023-11-14,0.42
train7_vistrain1_2023-11-16,0.31
train7_vistrain1_2023-11-17,0.31
train7_vistrain1_2023-11-18,0.36
train7_vistrain1_2023-11-19,0.39
train7_vistrain1_2023-11-22,0.46
train80_vistrain2_2024-03-13,0.5
train80_vistrain2_2024-03-14,0.39
train80_vistrain2_2024-03-16,0.33
train80_vistrain2_2024-03-17,0.25
train80_vistrain2_2024-03-18,0.39
train80_vistrain2_2024-03-20,0.44
train80_vistrain2_2024-03-21,0.36
train80_vistrain2_2024-03-22,0.31
train80_vistrain2_2024-03-23,0.39
train80_vistrain2_2024-03-24,0.42
train80_vistrain2_2024-03-25,0.25
train80_vistrain2_2024-03-26,0.38
